"Локализация","Русский","English","Deutsch","Français","Español","Italiano","中文"
"text_volume","Настройки громкости","Volume Settings","Lautstärkeeinstellungen","Paramètres de volume","Ajustes de volumen","Impostazioni volume","音量设置"
"text_volume_global","Общая громкость","Master Volume","Hauptlautstärke","Volume principal","Volumen principal","Volume principale","主音量"
"text_volume_music","Громкость музыки","Music Volume","Musiklautstärke","Volume de la musique","Volumen de la música","Volume musica","音乐音量"
"text_volume_players","Громкость игроков","Player Volume","Playerlautstärke","Volume du lecteur","Volumen del reproductor","Volume lettore","玩家音量"
"text_volume_ui","Громкость SFX","SFX Volume","SFX-Lautstärke","Volume des effets sonores","Volumen de efectos de sonido","Volume effetti sonori","音效音量"
"text_volume_steps","Громкость шагов","Footstep Volume","Schrittlautstärke","Volume des bruits de pas","Volumen de los pasos","Volume passi","脚步声音量"
"text_volume_reset","Сбросить","Reset","Zurücksetzen","Réinitialiser","Restablecer","Reimposta","重置"
"text_volume_apply","Применить","Apply","Anwenden","Appliquer","Aplicar","Applica","应用"
"text_language","Язык","Language","Sprache","Langue","Idioma","Lingua","语言"
"text_graphic","Настройки графики","Graphics Settings","Grafikeinstellungen","Paramètres graphiques","Ajustes de gráficos","Impostazioni grafiche","图形设置"
"text_graphic_screenresolution","Разрешение экрана","Screen Resolution","Bildschirmauflösung","Résolution d'écran","Resolución de pantalla","Risoluzione schermo","屏幕分辨率"
"text_graphic_msaa","Сглаживание","Anti-Aliasing","Anti-Aliasing","Anticrénelage","Suavizado","Anti-aliasing","抗锯齿"
"text_graphic_scalingfilter","Масштабирующий фильтр","Scaling Filter","Skalierungsfilter","Filtre de mise à l'échelle","Filtro de escala","Filtro ridimensionamento","缩放滤镜"
"text_graphic_shadowresolution","Разрешение теней","Shadow Resolution","Schattenauflösung","Résolution des ombres","Resolución de sombras","Risoluzione ombre","阴影分辨率"
"text_graphic_textureresolution","Разрешение текстур","Texture Resolution","Texturauflösung","Résolution des textures","Resolución de texturas","Risoluzione texture","纹理分辨率"
"text_graphic_fps","Ограничение кадров в секунду","Flames per second limit","Begrenzung der Bilder pro Sekunde","Limite d'images par seconde","Límite de fotogramas por segundo","Limite di fotogrammi al secondo","每秒帧数限制"
"text_graphic_fpsmonitor","Использовать частоту монитора?","Use Monitor Frame Rate?","Monitor-Bildrate verwenden?","Utiliser la fréquence d'images du moniteur ?","¿Usar frecuencia de imagen del monitor?","Usa frame rate monitor?","使用显示器帧率？"
"text_graphic_costshadow","Включить тени?","Enable Shadows?","Schatten aktivieren?","Activer les ombres ?","¿Activar sombras?","Abilita ombre?","启用阴影？"
"text_graphic_hdr","Использовать HDR?","Use HDR?","HDR verwenden?","Utiliser le HDR ?","¿Usar HDR?","Usa HDR?","使用 HDR？"
"text_graphic_vsync","Включить вертикальную синхронизацию?","Enable Vsync?","V-Sync aktivieren?","Activer la synchronisation verticale ?","¿Activar sincronización vertical?","Abilita Vsync?","启用垂直同步？"
"text_graphic_postprocessing","Включить пост-обработку?","Enable Post-Processing?","Nachbearbeitung aktivieren?","Activer le post-traitement ?","¿Activar posprocesamiento?","Abilita post-elaborazione?","启用后处理？"
"text_graphic_renderscale","Разрешение рендера","Render Resolution","Renderauflösung","Résolution de rendu","Resolución de renderizado","Risoluzione rendering","渲染分辨率"
"text_graphic_reset","Сбросить","Reset","Zurücksetzen","Réinitialiser","Restablecer","Reimposta","重置"
"text_graphic_apply","Применить","Apply","Anwenden","Appliquer","Aplicar","Applica","应用"
"text_global_money","Монеты","Coins","Münzen","Pièces","Monedas","Monete","金币"
"text_lobby","Лобби","Lobby","Lobby","Panneau d'accueil","Lobby","Lobby","大厅"
"text_password","Пароль","Password","Passwort","Mot de passe","Contraseña","Password","密码"
"text_lobby_join","Войти","Login","Anmelden","Connexion","Iniciar sesión","Accedi","登录"
"text_lobby_create","Создать","Create","Erstellen","Créer","Crear","Crea","创建"
"text_menu_play","Играть","Play","Spielen","Jouer","Jugar","Gioca","开始游戏"
"text_menu_settings","Настройки","Settings","Einstellungen","Paramètres","Ajustes","Impostazioni","设置"
"text_menu_editor","Редактор карт","Map Editor","Karteneditor","Éditeur de carte","Editor de mapas","Editor di mappe","地图编辑器"
"text_menu_mods","Модификации","Modifications","Modifikationen","Modifications","Modificaciones","Modifiche","修改"
"text_menu_exit","Выход","Exit","Beenden","Quitter","Salir","Esci","退出"
"text_about_game","localhost inc. bulid 0.14a","localhost inc. bulid 0.14a","localhost Inc. Build 0.14a","localhost inc. version 0.14a","localhost Inc. versión 0.14a","localhost inc. versione 0.14a","localhost 公司出品 0.14a 版本"
"text_about_users","Все права защищены Archonix. Копирование запрещено.","All rights reserved Archonix. Copying prohibited.","Alle Rechte vorbehalten. Archonix. Kopieren verboten.","Tous droits réservés Archonix. Reproduction interdite.","Todos los derechos reservados Archonix. Prohibida su reproducción.","Tutti i diritti riservati Archonix. Vietata la copia.","Archonix 版权所有。禁止复制。"
"text_menu_graphic","Графика","Graphics","Grafik","Graphismes","Gráficos","Grafica","画面"
"text_menu_volume","Аудио","Audio","Audio","Audio","Audio","Audio","音频"
"text_menu_gameplay","Геймплей","Gameplay","Gameplay","Gameplay","Jugabilidad","Gioco","游戏玩法"
"text_menu_online","Онлайн","Online","Online","En ligne","En línea","Online","在线"
"text_online","Настройки игрового процесса","Gameplay Settings","Spieleinstellungen","Paramètres de jeu","Ajustes de juego","Impostazioni di gioco","游戏设置"
"text_gameplay","Настройки кооператива и другие настройки","Co-op and Other Settings","Koop- und sonstige Einstellungen","Paramètres coopératifs et autres","Modo cooperativo y otros ajustes","Co-op e altre impostazioni","合作模式及其他设置"
